timestamp,date,stamp,code,order_no,bs_flag,order_type,order_price,order_volume
2026-04-07 09:15:00.040,20260407,91500040,000009.SZ,1665,1,0,8.15,100
2026-04-07 09:15:00.040,20260407,91500040,000009.SZ,2244,2,0,9.27,100
2026-04-07 09:15:00.040,20260407,91500040,000009.SZ,3289,1,0,8.43,2000
2026-04-07 09:15:00.040,20260407,91500040,000009.SZ,3355,2,0,9.27,1100
2026-04-07 09:15:00.040,20260407,91500040,000009.SZ,3370,1,0,8.4,500
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,5238,2,0,8.57,500
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,5239,2,0,8.65,500
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,5781,1,0,8.43,1000
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,6111,2,0,9.06,600
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,6813,2,0,8.43,500
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,6918,1,0,8.18,200
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,7194,2,0,8.68,700
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,7487,2,0,9.27,3000
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,7810,2,0,9.2,2100
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,7945,2,0,8.88,3000
2026-04-07 09:15:00.050,20260407,91500050,000009.SZ,8444,2,0,8.59,500
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,8739,1,0,8.39,2000
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,8764,1,0,7.87,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,10671,2,0,8.42,200
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,11333,2,0,9.04,1000
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12023,2,0,9.27,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12024,2,0,9.19,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12025,2,0,9.09,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12096,1,0,8.08,700
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12100,1,0,7.77,700
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12242,2,0,8.71,239500
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12246,2,0,8.99,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12323,2,0,8.89,100
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12472,2,0,9.27,300
2026-04-07 09:15:00.060,20260407,91500060,000009.SZ,12876,2,0,8.89,1000
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,13671,1,0,8.43,100
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,13753,1,0,8.43,200
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,14022,1,0,8.0,1000
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,14090,2,0,9.0,100
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,14963,1,0,8.3,100
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,14964,1,0,7.9,100
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,15504,2,0,8.8,1000
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,15730,2,0,8.74,700
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,15979,1,0,8.25,1000
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,16019,2,0,9.19,1000
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,17226,2,0,8.72,800
2026-04-07 09:15:00.070,20260407,91500070,000009.SZ,17624,2,0,8.7,200
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,18319,2,0,9.27,300
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,18439,1,0,7.59,200
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,18756,2,0,9.27,300
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,18958,2,0,9.27,3000
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,19009,2,0,7.79,3000
2026-04-07 09:15:00.080,20260407,91500080,000009.SZ,20740,2,0,7.59,100
2026-04-07 09:15:00.090,20260407,91500090,000009.SZ,22691,2,0,8.98,600
2026-04-07 09:15:00.090,20260407,91500090,000009.SZ,24490,2,0,9.09,2400
2026-04-07 09:15:00.090,20260407,91500090,000009.SZ,24676,2,0,9.2,6000
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,25857,2,0,9.0,1000
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,26099,2,0,9.19,1000
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,26317,2,0,9.09,500
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,26325,2,0,8.3,100
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,27568,2,0,9.18,500
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,28079,1,0,7.59,3000
2026-04-07 09:15:00.100,20260407,91500100,000009.SZ,28626,2,0,8.99,1000
2026-04-07 09:15:00.110,20260407,91500110,000009.SZ,29201,2,0,8.95,1000
2026-04-07 09:15:00.110,20260407,91500110,000009.SZ,29521,2,0,9.24,1000
2026-04-07 09:15:00.110,20260407,91500110,000009.SZ,30651,1,0,8.43,100
2026-04-07 09:15:00.110,20260407,91500110,000009.SZ,31704,2,0,9.27,5000
2026-04-07 09:15:00.110,20260407,91500110,000009.SZ,32563,1,0,8.15,100
2026-04-07 09:15:00.120,20260407,91500120,000009.SZ,32835,1,0,8.28,5100
2026-04-07 09:15:00.120,20260407,91500120,000009.SZ,33217,1,0,8.36,200
2026-04-07 09:15:00.120,20260407,91500120,000009.SZ,33387,2,0,8.42,100
2026-04-07 09:15:00.120,20260407,91500120,000009.SZ,33853,2,0,9.27,2000
