timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-20 09:15:00.610,20260320,91500610,000009.SZ,94821,-1,74690,0,0.0,100,0.0
2026-03-20 09:15:01.210,20260320,91501210,000009.SZ,132748,-1,24399,0,0.0,12000,0.0
2026-03-20 09:16:06.090,20260320,91606090,000009.SZ,238491,-1,234570,0,0.0,1000,0.0
2026-03-20 09:17:15.260,20260320,91715260,000009.SZ,255209,-1,253219,0,0.0,1000,0.0
2026-03-20 09:17:41.590,20260320,91741590,000009.SZ,262450,-1,0,255784,0.0,3100,0.0
2026-03-20 09:18:37.650,20260320,91837650,000009.SZ,279000,-1,277284,0,0.0,100,0.0
2026-03-20 09:18:44.580,20260320,91844580,000009.SZ,281143,-1,0,234574,0.0,21200,0.0
2026-03-20 09:19:23.120,20260320,91923120,000009.SZ,293998,-1,123825,0,0.0,100,0.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450941,1,244100,238659,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450942,1,244299,238659,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450943,1,338579,238659,8.96,1600,14336.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450944,1,338579,246894,8.96,200,1792.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450945,1,388023,246894,8.96,1200,10752.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450946,1,423090,246894,8.96,600,5376.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450947,1,447044,246894,8.96,500,4480.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450948,1,442571,246894,8.96,2400,21504.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450949,1,447043,246894,8.96,1000,8960.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450950,2,91044,246894,8.96,7100,63616.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450951,1,428826,246894,8.96,400,3584.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450952,1,428826,410614,8.96,2800,25088.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450953,1,432283,410614,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450954,1,432615,410614,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450955,1,435384,410614,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450956,1,448728,410614,8.96,1100,9856.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450957,1,448891,410614,8.96,1400,12544.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450958,1,448891,392254,8.96,200,1792.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450959,1,448891,308341,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450960,1,448891,427611,8.96,500,4480.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450961,1,448891,427616,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450962,1,448891,349975,8.96,2700,24192.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450963,1,448891,354898,8.96,2000,17920.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450964,1,448891,334578,8.96,600,5376.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450965,1,448891,25245,8.96,300,2688.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450966,1,448891,29139,8.96,2300,20608.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450967,1,448891,86277,8.96,300,2688.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450968,1,448891,393713,8.96,400,3584.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450969,1,448891,437926,8.96,200,1792.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450970,1,448891,238126,8.96,100,896.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450971,1,448891,329158,8.96,500,4480.0
2026-03-20 09:25:00.000,20260320,92500000,000009.SZ,450972,1,448891,358571,8.96,3000,26880.0
2026-03-20 09:30:00.030,20260320,93000030,000009.SZ,526792,1,526791,227560,8.97,200,1794.0
2026-03-20 09:30:00.030,20260320,93000030,000009.SZ,526793,1,526791,274629,8.98,300,2694.0
2026-03-20 09:30:00.030,20260320,93000030,000009.SZ,526794,1,526791,364021,8.98,8000,71840.0
2026-03-20 09:30:00.040,20260320,93000040,000009.SZ,530953,-1,446849,0,0.0,5200,0.0
2026-03-20 09:30:00.040,20260320,93000040,000009.SZ,532901,-1,448891,0,0.0,14200,0.0
2026-03-20 09:30:00.050,20260320,93000050,000009.SZ,541622,-1,302056,0,0.0,5500,0.0
2026-03-20 09:30:00.050,20260320,93000050,000009.SZ,541634,-1,385163,0,0.0,2100,0.0
2026-03-20 09:30:00.090,20260320,93000090,000009.SZ,560644,-1,63503,0,0.0,1300,0.0
2026-03-20 09:30:00.100,20260320,93000100,000009.SZ,566547,2,526791,566546,8.98,1000,8980.0
2026-03-20 09:30:00.110,20260320,93000110,000009.SZ,570142,-1,357536,0,0.0,2000,0.0
2026-03-20 09:30:00.110,20260320,93000110,000009.SZ,571829,-1,303820,0,0.0,300,0.0
2026-03-20 09:30:00.110,20260320,93000110,000009.SZ,573608,2,526791,573607,8.98,3000,26940.0
2026-03-20 09:30:00.120,20260320,93000120,000009.SZ,575659,2,526791,575658,8.98,9000,80820.0
2026-03-20 09:30:00.130,20260320,93000130,000009.SZ,582450,-1,336692,0,0.0,700,0.0
2026-03-20 09:30:00.130,20260320,93000130,000009.SZ,582660,-1,330896,0,0.0,1000,0.0
2026-03-20 09:30:00.150,20260320,93000150,000009.SZ,592046,-1,253264,0,0.0,1000,0.0
2026-03-20 09:30:00.160,20260320,93000160,000009.SZ,601546,-1,431163,0,0.0,600,0.0
2026-03-20 09:30:00.210,20260320,93000210,000009.SZ,621293,2,526791,621292,8.98,100,898.0
2026-03-20 09:30:00.230,20260320,93000230,000009.SZ,626771,2,526791,626770,8.98,1000,8980.0
2026-03-20 09:30:00.250,20260320,93000250,000009.SZ,634639,2,526791,634638,8.98,200,1796.0
2026-03-20 09:30:00.310,20260320,93000310,000009.SZ,653209,2,526791,653208,8.98,200,1796.0
2026-03-20 09:30:00.340,20260320,93000340,000009.SZ,663059,2,526791,663058,8.98,1700,15266.0
2026-03-20 09:30:00.350,20260320,93000350,000009.SZ,664601,2,526791,664600,8.98,6000,53880.0
2026-03-20 09:30:00.400,20260320,93000400,000009.SZ,675763,2,526791,675762,8.98,100,898.0
2026-03-20 09:30:00.430,20260320,93000430,000009.SZ,681977,-1,227568,0,0.0,200,0.0
2026-03-20 09:30:00.460,20260320,93000460,000009.SZ,686708,2,526791,686707,8.98,100,898.0
2026-03-20 09:30:00.480,20260320,93000480,000009.SZ,690647,1,690646,48874,8.99,100,899.0
2026-03-20 09:30:00.530,20260320,93000530,000009.SZ,698798,-1,0,92322,0.0,800,0.0
2026-03-20 09:30:00.650,20260320,93000650,000009.SZ,715554,1,715553,48874,8.99,6000,53940.0
2026-03-20 09:30:00.770,20260320,93000770,000009.SZ,735545,-1,363852,0,0.0,7000,0.0
2026-03-20 09:30:00.890,20260320,93000890,000009.SZ,752570,-1,314078,0,0.0,600,0.0
