timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-11 09:16:31.350,20260311,91631350,000009.SZ,345612,-1,0,134481,0.0,100,0.0
2026-03-11 09:16:42.280,20260311,91642280,000009.SZ,348979,-1,84764,0,0.0,700,0.0
2026-03-11 09:17:30.690,20260311,91730690,000009.SZ,365057,-1,0,110527,0.0,2100,0.0
2026-03-11 09:18:09.330,20260311,91809330,000009.SZ,379606,-1,0,31732,0.0,500,0.0
2026-03-11 09:18:18.490,20260311,91818490,000009.SZ,383275,-1,0,264907,0.0,10000,0.0
2026-03-11 09:18:22.270,20260311,91822270,000009.SZ,384785,-1,264913,0,0.0,10000,0.0
2026-03-11 09:18:45.690,20260311,91845690,000009.SZ,394328,-1,0,365061,0.0,2700,0.0
2026-03-11 09:19:15.140,20260311,91915140,000009.SZ,406995,-1,0,400756,0.0,200,0.0
2026-03-11 09:19:55.810,20260311,91955810,000009.SZ,425495,-1,0,411606,0.0,200,0.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619994,2,364177,431282,9.18,800,7344.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619995,2,364177,431292,9.18,700,6426.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619996,1,507301,431292,9.18,3800,34884.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619997,1,507301,498676,9.18,200,1836.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619998,1,507301,503162,9.18,200,1836.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,619999,2,507301,507680,9.18,4300,39474.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620000,2,507301,534250,9.18,1000,9180.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620001,2,507301,541517,9.18,300,2754.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620002,2,507301,553238,9.18,3200,29376.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620003,2,507301,561158,9.18,4600,42228.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620004,2,507301,579250,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620005,2,507301,589041,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620006,2,507301,606316,9.18,1900,17442.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620007,1,507301,4542,9.18,8400,77112.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620008,1,507301,236513,9.18,800,7344.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620009,1,507301,394331,9.18,2700,24786.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620010,1,507301,429992,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620011,2,507301,614703,9.18,2100,19278.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620012,2,507301,594675,9.18,400,3672.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620013,2,507301,597702,9.18,200,1836.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620014,2,507301,604035,9.18,5600,51408.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620015,2,543606,604035,9.18,300,2754.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620016,2,598346,604035,9.18,500,4590.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620017,2,598849,604035,9.18,3600,33048.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620018,2,601526,604035,9.18,300,2754.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620019,2,601886,604035,9.18,1000,9180.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620020,1,604315,604035,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620021,2,590653,604035,9.18,2900,26622.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620022,2,588375,604035,9.18,5400,49572.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620023,2,171273,604035,9.18,500,4590.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620024,2,524768,604035,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620025,2,529877,604035,9.18,900,8262.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620026,2,529877,609317,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620027,2,532814,609317,9.18,6500,59670.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620028,2,544054,609317,9.18,500,4590.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620029,2,548464,609317,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620030,2,549427,609317,9.18,8800,80784.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620031,1,549427,466987,9.18,1200,11016.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620032,1,549427,327730,9.18,600,5508.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620033,1,549427,346737,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620034,1,549427,354796,9.18,3000,27540.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620035,2,549427,605532,9.18,6300,57834.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620036,1,549427,55594,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620037,1,549427,55597,9.18,100,918.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620038,1,549427,96634,9.18,600,5508.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620039,1,549427,485974,9.18,300,2754.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620040,1,549427,499559,9.18,1000,9180.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620041,2,549427,556514,9.18,1000,9180.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620042,2,549427,556533,9.18,12600,115668.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620043,1,549427,399315,9.18,5400,49572.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620044,1,549427,429978,9.18,500,4590.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620045,1,549427,534573,9.18,1000,9180.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620046,2,549427,584584,9.18,500,4590.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620047,2,549427,591954,9.18,700,6426.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620048,2,549427,592887,9.18,2800,25704.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620049,2,549427,593276,9.18,600,5508.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620050,2,549427,593502,9.18,600,5508.0
2026-03-11 09:25:00.000,20260311,92500000,000009.SZ,620051,2,551316,593502,9.18,200,1836.0
