timestamp,date,stamp,dtype,code,name,market,sum_volume,sum_amount,status,new_price,new_volume,new_amount,new_bid_volume,new_bid_amount,new_ask_volume,new_ask_amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,open,high,low,upper_limit,lower_limit,pre_close,close,pre_settle,settle,pre_open_interest,open_interest,multiple,price_step,list_date,expire_date,exercise_price,cp_flag,underlying_code,min_order_volume,interest,sum_bid_volume,sum_bid_amount,sum_ask_volume,sum_ask_amount
2026-04-09 09:31:00,20260409,93100000,1,000009.SZ,中国宝安,2,496100,4352508.0,0,8.78,496100,4352508.0,291800,2560584.0,204300,1791924.0,8.77,8.76,8.75,8.74,8.73,8.72,8.71,8.7,8.69,8.68,5700,28200,35400,7100,30100,34100,96400,148400,700,8900,8.78,8.79,8.8,8.81,8.82,8.83,8.84,8.85,8.86,8.87,72500,19400,48400,100,46300,99800,131900,21000,600,3700,8.79,8.79,8.76,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,291800,2560584.0,204300,1791924.0
2026-04-09 09:32:00,20260409,93200000,1,000009.SZ,中国宝安,2,798300,6996211.0,0,8.75,302200,2643703.0,75400,659888.0,226800,1983815.0,8.73,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,33700,37100,96400,154000,6600,24900,17100,94500,144200,14100,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.83,8.84,4900,5700,1500,83000,14300,46700,74900,51800,91600,130800,8.78,8.78,8.73,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,367200,3220472.0,431100,3775739.0
2026-04-09 09:33:00,20260409,93300000,1,000009.SZ,中国宝安,2,943300,8266249.0,0,8.76,145000,1270038.0,78000,683455.0,67000,586583.0,8.75,8.74,8.73,8.72,8.71,8.7,8.69,8.68,8.67,8.66,14000,72300,66100,38300,107100,174400,7100,27900,13200,94500,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.83,8.84,8.85,1200,82000,21000,18300,44300,74900,46400,91600,130800,19800,8.75,8.77,8.74,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,445200,3903927.0,498100,4362322.0
2026-04-09 09:34:00,20260409,93400000,1,000009.SZ,中国宝安,2,1119600,9807712.0,0,8.73,176300,1541463.0,30700,268760.0,145600,1272703.0,8.73,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,38600,47900,110700,178400,7500,40300,14300,95600,144700,15100,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.83,14900,25500,19100,30600,21600,18300,38700,74900,47800,111100,8.75,8.76,8.73,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,475900,4172687.0,643700,5635025.0
2026-04-09 09:35:00,20260409,93500000,1,000009.SZ,中国宝安,2,1711000,14962967.0,0,8.73,591400,5155255.0,119900,1047052.0,471500,4108203.0,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,7500,50300,30000,20500,30100,15300,102300,143500,15100,23800,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,100,15000,52000,45100,40500,25100,19800,41400,74900,27800,8.73,8.74,8.72,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,595800,5219739.0,1115200,9743228.0
2026-04-09 09:36:00,20260409,93600000,1,000009.SZ,中国宝安,2,2005700,17529071.0,0,8.7,294700,2566104.0,75900,661416.0,218800,1904688.0,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,6800,27100,46500,35900,109000,159500,12100,31400,11600,33600,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,25800,242100,26000,23000,40500,35200,45300,21200,27800,42000,8.72,8.72,8.7,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,671700,5881155.0,1334000,11647916.0
2026-04-09 09:37:00,20260409,93700000,1,000009.SZ,中国宝安,2,2180500,19051399.0,0,8.71,174800,1522328.0,92300,803955.0,82500,718373.0,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,18000,73700,33600,50300,65500,110300,167500,13300,37900,12000,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,246900,18000,23400,49000,45500,44400,21200,27600,30500,74900,8.7,8.71,8.7,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,764000,6685110.0,1416500,12366289.0
2026-04-09 09:38:00,20260409,93800000,1,000009.SZ,中国宝安,2,2522900,22036852.0,0,8.72,342400,2985453.0,271000,2363196.0,71400,622257.0,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,126100,165100,65900,57700,66400,115400,170700,13300,37900,11500,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,3500,1600,21100,44800,45200,39100,24200,29900,30500,74900,8.72,8.73,8.71,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1035000,9048306.0,1487900,12988546.0
2026-04-09 09:39:00,20260409,93900000,1,000009.SZ,中国宝安,2,2966300,25896903.0,0,8.7,443400,3860051.0,45900,400173.0,397500,3459878.0,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,34500,69000,53800,65400,110900,190800,14300,46500,11500,45800,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,65000,9800,20100,15200,42800,46200,39100,25400,28200,30900,8.72,8.73,8.7,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1080900,9448479.0,1885400,16448424.0
2026-04-09 09:40:00,20260409,94000000,1,000009.SZ,中国宝安,2,3104900,27102008.0,0,8.69,138600,1205105.0,30500,265350.0,108100,939755.0,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,8.6,38900,62600,89800,117300,196800,223400,51500,11700,45800,147900,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,36300,45700,146044,30200,13700,34400,40800,39100,25400,31300,8.7,8.7,8.69,9.74,7.97,8.85,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1111400,9713829.0,1993500,17388179.0
