timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-18 09:15:02.180,20260318,91502180,000009.SZ,201457,-1,0,154620,0.0,200,0.0
2026-03-18 09:15:23.310,20260318,91523310,000009.SZ,265910,-1,0,263337,0.0,2500,0.0
2026-03-18 09:16:14.660,20260318,91614660,000009.SZ,279443,-1,0,256162,0.0,200,0.0
2026-03-18 09:16:56.820,20260318,91656820,000009.SZ,291042,-1,287631,0,0.0,8800,0.0
2026-03-18 09:17:08.070,20260318,91708070,000009.SZ,294505,-1,0,291669,0.0,200,0.0
2026-03-18 09:17:15.370,20260318,91715370,000009.SZ,296663,-1,295610,0,0.0,15100,0.0
2026-03-18 09:17:28.220,20260318,91728220,000009.SZ,300782,-1,0,299217,0.0,700,0.0
2026-03-18 09:17:33.820,20260318,91733820,000009.SZ,302557,-1,0,298014,0.0,1500,0.0
2026-03-18 09:17:37.790,20260318,91737790,000009.SZ,303895,-1,213628,0,0.0,200,0.0
2026-03-18 09:18:08.040,20260318,91808040,000009.SZ,314164,-1,0,295109,0.0,1300,0.0
2026-03-18 09:19:44.140,20260318,91944140,000009.SZ,349534,-1,0,332382,0.0,1000,0.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528612,2,217664,271182,9.22,200,1844.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528613,1,376816,271182,9.22,100,922.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528614,1,499947,274192,9.22,600,5532.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528615,1,504018,274192,9.22,600,5532.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528616,2,178876,274192,9.22,200,1844.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528617,2,178876,298897,9.22,200,1844.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528618,2,178876,421836,9.22,100,922.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528619,2,178876,429547,9.22,600,5532.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528620,2,360787,518424,9.22,700,6454.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528621,1,360787,260481,9.22,100,922.0
2026-03-18 09:25:00.000,20260318,92500000,000009.SZ,528622,1,360787,265921,9.22,2400,22128.0
