timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-12 09:15:00.450,20260312,91500450,000009.SZ,116179,-1,0,83743,0.0,1200,0.0
2026-03-12 09:15:05.070,20260312,91505070,000009.SZ,315960,-1,315929,0,0.0,100,0.0
2026-03-12 09:16:06.480,20260312,91606480,000009.SZ,356181,-1,0,349392,0.0,166600,0.0
2026-03-12 09:16:13.200,20260312,91613200,000009.SZ,358494,-1,0,202262,0.0,200,0.0
2026-03-12 09:17:36.270,20260312,91736270,000009.SZ,388018,-1,195873,0,0.0,400,0.0
2026-03-12 09:19:22.490,20260312,91922490,000009.SZ,433247,-1,419151,0,0.0,100,0.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654544,1,331239,244080,9.28,500,4640.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654545,1,358724,244080,9.28,1900,17632.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654546,1,358724,337903,9.28,800,7424.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654547,1,358724,352445,9.28,100,928.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654548,2,358724,382350,9.28,400,3712.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654549,2,371112,382350,9.28,800,7424.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654550,2,371112,533360,9.28,700,6496.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654551,2,371112,543895,9.28,500,4640.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654552,2,371112,548393,9.28,1200,11136.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654553,2,554404,585332,9.28,1200,11136.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654554,2,554449,585332,9.28,1200,11136.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654555,1,627998,585332,9.28,4700,43616.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654556,1,627998,347913,9.28,100,928.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654557,1,627998,506400,9.28,1000,9280.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654558,2,627998,632789,9.28,100,928.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654559,2,576735,632789,9.28,200,1856.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654560,1,576735,374506,9.28,100,928.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654561,1,632396,374506,9.28,200,1856.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654562,1,502065,374506,9.28,1000,9280.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654563,1,629231,374506,9.28,100,928.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654564,1,630537,374506,9.28,1700,15776.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654565,2,630537,649938,9.28,1300,12064.0
2026-03-12 09:25:00.000,20260312,92500000,000009.SZ,654566,2,187130,649938,9.28,1100,10208.0
