timestamp,date,stamp,dtype,code,name,market,sum_volume,sum_amount,status,new_price,new_volume,new_amount,new_bid_volume,new_bid_amount,new_ask_volume,new_ask_amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,open,high,low,upper_limit,lower_limit,pre_close,close,pre_settle,settle,pre_open_interest,open_interest,multiple,price_step,list_date,expire_date,exercise_price,cp_flag,underlying_code,min_order_volume,interest,sum_bid_volume,sum_bid_amount,sum_ask_volume,sum_ask_amount
2026-04-08 09:31:00,20260408,93100000,1,000009.SZ,中国宝安,2,1057900,9157097.0,0,8.65,1057900,9157097.0,767700,6647427.0,290200,2509670.0,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,8.55,8.54,15500,107400,142800,61900,89300,38500,5900,12500,25800,1000,8.65,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,45400,32400,24100,43300,79300,64300,11900,48200,194700,13600,8.65,8.68,8.63,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,767700,6647427.0,290200,2509670.0
2026-04-08 09:32:00,20260408,93200000,1,000009.SZ,中国宝安,2,1473800,12755015.0,0,8.67,415900,3597918.0,291000,2518199.0,124900,1079719.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,800,26000,50700,34700,58800,145400,64000,95300,38500,5900,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,26900,98400,91200,80200,10900,42700,17400,13400,54800,41200,8.65,8.67,8.63,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1058700,9165626.0,415100,3589389.0
2026-04-08 09:33:00,20260408,93300000,1,000009.SZ,中国宝安,2,1840700,15934947.0,0,8.67,366900,3179932.0,204000,1768709.0,162900,1411223.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,600,15100,18600,54600,44400,143300,75400,95300,38500,900,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,34800,119000,279100,136800,10900,50300,17400,14400,39100,41200,8.67,8.68,8.66,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1262700,10934335.0,578000,5000612.0
2026-04-08 09:34:00,20260408,93400000,1,000009.SZ,中国宝安,2,2307000,19977304.0,0,8.67,466300,4042357.0,342600,2970657.0,123700,1071700.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,22900,46400,30800,62700,48600,174100,81600,83900,23200,400,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,92300,105200,270100,104300,19900,27200,27400,14400,39900,73500,8.67,8.68,8.65,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1605300,13904992.0,701700,6072312.0
2026-04-08 09:35:00,20260408,93500000,1,000009.SZ,中国宝安,2,2800700,24261097.0,0,8.68,493700,4283793.0,381500,3310494.0,112200,973299.0,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,22500,28400,19100,47500,39300,41600,78300,173700,85900,83900,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,210700,106500,24900,39600,28500,17900,44900,83000,54700,57300,8.66,8.69,8.66,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1986800,17215486.0,813900,7045611.0
2026-04-08 09:36:00,20260408,93600000,1,000009.SZ,中国宝安,2,3414100,29592720.0,0,8.69,613400,5331623.0,435900,3789505.0,177500,1542118.0,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,8.6,26800,5300,15300,42300,60000,16900,59600,74600,169600,66700,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,76400,26500,48100,42200,21400,58200,160200,55900,62800,11400,8.68,8.7,8.68,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,2422700,21004991.0,991400,8587729.0
2026-04-08 09:37:00,20260408,93700000,1,000009.SZ,中国宝安,2,3985900,34578582.0,0,8.73,571800,4985862.0,378300,3299062.0,193500,1686800.0,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,90600,1000,8600,19400,5400,11900,41600,58700,15700,48500,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,7700,89300,92300,38700,65100,75500,11900,110800,10000,27200,8.69,8.74,8.69,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,2801000,24304053.0,1184900,10274529.0
2026-04-08 09:38:00,20260408,93800000,1,000009.SZ,中国宝安,2,4333300,37606136.0,0,8.72,347400,3027554.0,190500,1660090.0,156900,1367464.0,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,26200,32100,13900,10400,14600,16600,58700,4900,48500,71600,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,137700,57000,97300,127500,51500,73900,86200,16700,117900,12100,8.72,8.72,8.7,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,2991500,25964143.0,1341800,11641993.0
2026-04-08 09:39:00,20260408,93900000,1,000009.SZ,中国宝安,2,4593500,39874122.0,0,8.72,260200,2267986.0,186800,1628672.0,73400,639314.0,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,40100,35500,14300,10700,47400,16400,58500,4900,48500,77400,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,54700,59800,134100,127700,59000,76300,127100,17600,134600,12100,8.72,8.72,8.71,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,3178300,27592815.0,1415200,12281307.0
2026-04-08 09:40:00,20260408,94000000,1,000009.SZ,中国宝安,2,4973700,43190864.0,0,8.74,380200,3316742.0,250700,2188025.0,129500,1128717.0,8.73,8.72,8.71,8.7,8.69,8.68,8.67,8.66,8.65,8.64,7900,18300,21600,31200,26300,17300,47200,16400,58500,4900,8.74,8.75,8.76,8.77,8.78,8.79,8.8,8.81,8.82,8.83,108600,128900,51400,73400,123100,23900,136700,12100,31700,13900,8.71,8.74,8.71,9.35,7.65,8.5,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,3429000,29780840.0,1544700,13410024.0
