timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-17 09:15:00.590,20260317,91500590,000009.SZ,122874,-1,0,92005,0.0,18800,0.0
2026-03-17 09:15:04.420,20260317,91504420,000009.SZ,266752,-1,0,266750,0.0,7000,0.0
2026-03-17 09:15:05.630,20260317,91505630,000009.SZ,277162,-1,277150,0,0.0,2700,0.0
2026-03-17 09:15:09.500,20260317,91509500,000009.SZ,287754,-1,185303,0,0.0,100,0.0
2026-03-17 09:15:09.540,20260317,91509540,000009.SZ,287762,-1,185305,0,0.0,100,0.0
2026-03-17 09:16:15.010,20260317,91615010,000009.SZ,304677,-1,239348,0,0.0,4400,0.0
2026-03-17 09:16:19.960,20260317,91619960,000009.SZ,305961,-1,243546,0,0.0,3400,0.0
2026-03-17 09:16:35.250,20260317,91635250,000009.SZ,310124,-1,302387,0,0.0,1000,0.0
2026-03-17 09:16:56.570,20260317,91656570,000009.SZ,316351,-1,253167,0,0.0,400,0.0
2026-03-17 09:17:48.660,20260317,91748660,000009.SZ,334025,-1,0,96436,0.0,100,0.0
2026-03-17 09:17:55.060,20260317,91755060,000009.SZ,336444,-1,334022,0,0.0,2000,0.0
2026-03-17 09:18:20.670,20260317,91820670,000009.SZ,346136,-1,0,310529,0.0,10000,0.0
2026-03-17 09:19:32.530,20260317,91932530,000009.SZ,376079,-1,314715,0,0.0,1000,0.0
2026-03-17 09:19:47.410,20260317,91947410,000009.SZ,382637,-1,0,378531,0.0,300,0.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576108,2,142360,312869,9.4,1500,14100.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576109,1,335351,312869,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576110,2,361089,454168,9.4,200,1880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576111,2,413906,454168,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576112,1,485106,454168,9.4,500,4700.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576113,1,549524,454168,9.4,800,7520.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576114,2,42772,454168,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576115,2,451154,454168,9.4,6200,58280.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576116,1,551329,454168,9.4,200,1880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576117,1,551330,525372,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576118,1,551330,413232,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576119,1,554981,217999,9.4,1000,9400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576120,1,554981,488479,9.4,1700,15980.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576121,1,554981,390093,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576122,1,554981,550372,9.4,7600,71440.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576123,2,554981,570625,9.4,2900,27260.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576124,2,554981,560931,9.4,900,8460.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576125,2,414496,560931,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576126,2,555797,560931,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576127,2,559325,560931,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576128,2,510816,560931,9.4,600,5640.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576129,2,535235,560931,9.4,3800,35720.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576130,2,535235,564764,9.4,2200,20680.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576131,2,154645,564764,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576132,2,388322,564764,9.4,11000,103400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576133,2,472625,564764,9.4,800,7520.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576134,1,472625,21010,9.4,2200,20680.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576135,1,484325,21010,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576136,1,543390,21010,9.4,1100,10340.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576137,1,554993,21010,9.4,4400,41360.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576138,1,417738,21010,9.4,600,5640.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576139,1,452909,21010,9.4,1600,15040.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576140,1,452909,344285,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576141,2,452909,514946,9.4,2300,21620.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576142,2,452909,538159,9.4,8700,81780.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576143,2,452909,551108,9.4,200,1880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576144,1,452909,82055,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576145,1,452909,94503,9.4,2200,20680.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576146,1,452909,96540,9.4,1100,10340.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576147,1,452909,104707,9.4,1000,9400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576148,1,452909,118937,9.4,800,7520.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576149,1,452909,133461,9.4,5200,48880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576150,1,452909,144107,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576151,1,452909,158400,9.4,1100,10340.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576152,1,452909,186773,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576153,1,452909,210345,9.4,900,8460.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576154,1,452909,217244,9.4,200,1880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576155,1,452909,258518,9.4,900,8460.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576156,1,452909,282564,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576157,1,452909,316661,9.4,1000,9400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576158,1,452909,374631,9.4,300,2820.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576159,1,452909,410512,9.4,12000,112800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576160,1,452909,426988,9.4,1000,9400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576161,1,452909,427135,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576162,2,452909,501997,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576163,2,452909,471087,9.4,10000,94000.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576164,2,452909,471366,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576165,2,452909,504456,9.4,4000,37600.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576166,2,463404,504456,9.4,2000,18800.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576167,2,499483,504456,9.4,1400,13160.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576168,1,509986,504456,9.4,1100,10340.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576169,1,516550,504456,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576170,1,523479,504456,9.4,10000,94000.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576171,1,531403,504456,9.4,1000,9400.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576172,1,532221,504456,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576173,1,561966,504456,9.4,200,1880.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576174,1,561986,504456,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576175,1,561987,504456,9.4,100,940.0
2026-03-17 09:25:00.000,20260317,92500000,000009.SZ,576176,1,562051,505968,9.4,100,940.0
2026-03-17 09:30:00.000,20260317,93000000,000009.SZ,662049,2,6002,662048,9.39,200,1878.0
2026-03-17 09:30:00.040,20260317,93000040,000009.SZ,669803,2,6002,669802,9.39,6000,56340.0
2026-03-17 09:30:00.050,20260317,93000050,000009.SZ,674749,-1,440284,0,0.0,100,0.0
2026-03-17 09:30:00.090,20260317,93000090,000009.SZ,698164,1,698163,505968,9.4,200,1880.0
2026-03-17 09:30:00.090,20260317,93000090,000009.SZ,698165,1,698163,510024,9.4,1200,11280.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,703409,-1,498355,0,0.0,100,0.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,703579,1,703578,510024,9.4,16300,153220.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,703580,1,703578,555393,9.4,1000,9400.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,703581,1,703578,561886,9.4,100,940.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,703582,1,703578,688918,9.4,2000,18800.0
2026-03-17 09:30:00.100,20260317,93000100,000009.SZ,704178,-1,0,404950,0.0,1200,0.0
