timestamp,date,stamp,code,match_no,bs_flag,bid_order_no,ask_order_no,match_price,match_volume,match_amount
2026-03-26 09:15:20.950,20260326,91520950,000009.SZ,271144,-1,240596,0,0.0,1700,0.0
2026-03-26 09:17:14.440,20260326,91714440,000009.SZ,301666,-1,3527,0,0.0,100,0.0
2026-03-26 09:17:51.270,20260326,91751270,000009.SZ,313291,-1,0,288135,0.0,1000,0.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534480,2,49071,99165,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534481,1,375964,99165,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534482,1,163960,99165,8.87,3900,34593.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534483,2,163960,358231,8.87,400,3548.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534484,2,163960,395846,8.87,3000,26610.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534485,2,163960,414956,8.87,500,4435.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534486,2,163960,417615,8.87,700,6209.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534487,2,163960,448772,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534488,2,163960,487155,8.87,2500,22175.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534489,2,163960,490382,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534490,2,163960,492264,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534491,2,163960,516017,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534492,2,163960,361131,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534493,2,163960,467581,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534494,2,163960,510534,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534495,2,163960,529805,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534496,2,207225,529805,8.87,500,4435.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534497,2,2913,529805,8.87,1100,9757.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534498,2,2913,509699,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534499,2,2913,449639,8.87,900,7983.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534500,2,492734,501068,8.87,400,3548.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534501,2,347384,501068,8.87,3600,31932.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534502,2,347384,519926,8.87,3500,31045.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534503,2,399343,519926,8.87,2600,23062.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534504,2,504509,519926,8.87,4200,37254.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534505,2,504509,519929,8.87,5600,49672.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534506,2,504509,522823,8.87,15200,134824.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534507,2,504509,522824,8.87,5600,49672.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534508,2,504509,515738,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534509,2,504509,516867,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534510,2,504509,517062,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534511,2,504509,518662,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534512,2,504509,518951,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534513,1,504509,433381,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534514,2,504509,529088,8.87,4400,39028.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534515,2,303173,529088,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534516,2,332036,529088,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534517,2,335196,529088,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534518,2,344316,529088,8.87,600,5322.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534519,2,369636,529088,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534520,2,389193,529088,8.87,2000,17740.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534521,2,423165,529088,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534522,2,480553,529088,8.87,1400,12418.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534523,2,439856,529088,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534524,2,443284,529088,8.87,2700,23949.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534525,2,497506,529088,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534526,2,497508,529088,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534527,2,497509,529088,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534528,2,497510,529088,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534529,2,497511,529088,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534530,2,497517,529088,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534531,2,497528,529088,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534532,2,497529,529088,8.87,700,6209.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534533,1,497529,215315,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534534,2,497530,525744,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534535,2,497531,525744,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534536,2,497534,525744,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534537,2,497535,525744,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534538,2,497542,525744,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534539,2,497544,525744,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534540,2,255297,525744,8.87,500,4435.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534541,2,445894,525744,8.87,800,7096.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534542,2,47999,525744,8.87,500,4435.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534543,2,48374,525744,8.87,500,4435.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534544,2,99989,525744,8.87,100,887.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534545,2,144479,525744,8.87,1800,15966.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534546,1,144479,3316,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534547,1,145208,3316,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534548,2,145208,495091,8.87,4700,41689.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534549,2,194167,495091,8.87,300,2661.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534550,2,205292,495091,8.87,1000,8870.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534551,2,231212,495091,8.87,200,1774.0
2026-03-26 09:25:00.000,20260326,92500000,000009.SZ,534552,1,505405,495091,8.87,100,887.0
2026-03-26 09:30:00.030,20260326,93000030,000009.SZ,628282,2,151616,628281,8.85,1900,16815.0
2026-03-26 09:30:00.030,20260326,93000030,000009.SZ,629265,-1,0,525869,0.0,5200,0.0
2026-03-26 09:30:00.030,20260326,93000030,000009.SZ,631443,-1,0,526993,0.0,28900,0.0
