timestamp,date,stamp,dtype,code,name,market,sum_volume,sum_amount,status,new_price,new_volume,new_amount,new_bid_volume,new_bid_amount,new_ask_volume,new_ask_amount,bp1,bp2,bp3,bp4,bp5,bp6,bp7,bp8,bp9,bp10,bv1,bv2,bv3,bv4,bv5,bv6,bv7,bv8,bv9,bv10,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,av1,av2,av3,av4,av5,av6,av7,av8,av9,av10,open,high,low,upper_limit,lower_limit,pre_close,close,pre_settle,settle,pre_open_interest,open_interest,multiple,price_step,list_date,expire_date,exercise_price,cp_flag,underlying_code,min_order_volume,interest,sum_bid_volume,sum_bid_amount,sum_ask_volume,sum_ask_amount
2026-03-24 09:31:00,20260324,93100000,1,000009.SZ,中国宝安,2,1190700,10347302.0,0,8.67,1190700,10347302.0,454700,3949649.0,736000,6397653.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,900,54200,70900,24400,4400,17800,157300,14600,30200,51900,8.67,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,30100,23800,34100,69200,20300,25700,15600,22000,13000,35600,8.7,8.72,8.64,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,454700,3949649.0,736000,6397653.0
2026-03-24 09:32:00,20260324,93200000,1,000009.SZ,中国宝安,2,1583000,13757426.0,0,8.69,392300,3410124.0,228000,1982556.0,164300,1427568.0,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,47000,29100,40200,74600,44300,26900,4400,18600,78900,14600,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,234300,50400,179000,73200,24200,11600,24600,16700,36600,38300,8.67,8.72,8.67,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,682700,5932205.0,900300,7825221.0
2026-03-24 09:33:00,20260324,93300000,1,000009.SZ,中国宝安,2,2149600,18682930.0,0,8.69,566600,4925504.0,370100,3217428.0,196500,1708076.0,8.69,8.68,8.67,8.66,8.65,8.64,8.63,8.62,8.61,8.6,300,36200,104200,37900,71300,43500,28000,5000,17400,74200,8.7,8.71,8.72,8.73,8.74,8.75,8.76,8.77,8.78,8.79,54800,69800,69900,23700,12800,48200,26800,36600,39300,59900,8.68,8.7,8.68,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1052800,9149633.0,1096800,9533297.0
2026-03-24 09:34:00,20260324,93400000,1,000009.SZ,中国宝安,2,2603800,22620958.0,0,8.66,454200,3938028.0,136600,1185033.0,317600,2752995.0,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,32800,3700,28100,18700,17400,75200,14000,35600,57500,500,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,5100,1700,8900,16000,55900,30300,72800,23700,29000,44100,8.69,8.69,8.65,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1189400,10334666.0,1414400,12286292.0
2026-03-24 09:35:00,20260324,93500000,1,000009.SZ,中国宝安,2,2880600,25014239.0,0,8.65,276800,2393281.0,162200,1402760.0,114600,990521.0,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,111200,20300,35600,20100,22300,82500,14500,42700,57500,500,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8500,3200,13900,23600,51400,29700,76500,12200,27100,48500,8.65,8.66,8.64,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1351600,11737426.0,1529000,13276813.0
2026-03-24 09:36:00,20260324,93600000,1,000009.SZ,中国宝安,2,3079400,26734919.0,0,8.65,198800,1720680.0,59976,519163.16,138824,1201516.84,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,32100,25900,67300,18300,28200,90500,15500,43900,57400,500,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,14200,10800,18800,29400,60800,29700,76100,27300,31500,44300,8.65,8.66,8.65,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1411576,12256589.16,1667824,14478329.84
2026-03-24 09:37:00,20260324,93700000,1,000009.SZ,中国宝安,2,3211500,27879886.0,0,8.67,132100,1144967.0,41200,356979.0,90900,787988.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,50400,46700,26400,67900,9100,30200,90400,15500,43900,59400,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,27100,42900,26600,65100,29700,75700,27300,31500,44300,27300,8.65,8.67,8.65,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1452776,12613568.16,1758724,15266317.84
2026-03-24 09:38:00,20260324,93800000,1,000009.SZ,中国宝安,2,3447400,29922106.0,0,8.66,235900,2042220.0,128700,1114281.0,107200,927939.0,8.66,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,46400,49300,41100,62900,11100,30200,98000,15500,43900,59600,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,8.76,25200,33800,27500,68500,39700,77000,29300,20400,44300,27800,8.66,8.66,8.65,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1581476,13727849.16,1865924,16194256.84
2026-03-24 09:39:00,20260324,93900000,1,000009.SZ,中国宝安,2,3674200,31885651.0,0,8.65,226800,1963545.0,42600,369068.0,184200,1594477.0,8.65,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,17800,41600,73200,11100,30200,116500,15500,46900,58800,4100,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,8.75,60900,44100,50300,28700,47300,39700,75000,29500,20900,45900,8.66,8.67,8.65,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1624076,14096917.16,2050124,17788733.84
2026-03-24 09:40:00,20260324,94000000,1,000009.SZ,中国宝安,2,3857700,33470893.0,0,8.65,183500,1585242.0,55000,475269.0,128500,1109973.0,8.64,8.63,8.62,8.61,8.6,8.59,8.58,8.57,8.56,8.55,2500,90000,21900,35100,86700,14800,46900,58600,4100,61100,8.65,8.66,8.67,8.68,8.69,8.7,8.71,8.72,8.73,8.74,49700,46200,14400,40000,27500,46300,42700,75100,29500,20900,8.65,8.65,8.63,9.43,7.71,8.57,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0,,0,0.0,1679076,14572186.16,2178624,18898706.84
