date,row_count
2026-03-11,328446129
2026-03-12,335117684
2026-03-13,335636615
2026-03-16,343413819
2026-03-17,326039991
2026-03-18,317470348
2026-03-19,330582248
2026-03-20,344657897
2026-03-23,379965284
2026-03-24,364405151
2026-03-25,332581326
2026-03-26,316639840
2026-03-27,320193553
2026-03-30,323359973
2026-03-31,321553061
2026-04-01,317744612
2026-04-02,310991049
2026-04-03,282845690
2026-04-07,275748161
2026-04-08,338956235
2026-04-09,314981774
2026-04-10,322490881
